// 圣经新译本 5000 most frequently used words
欺骗		63
先前		63
境内		63
迫害		63
硬		63
设立		63
不明		63
察看		63
筛		63
悖逆		63
罪人		63
夜		62
树木		62
录		62
对面		62
后面		62
不必		62
顺		62
种		62
火烧		62
初		62
骨头		62
折断		62
网		62
无人		62
耶西		62
以斯帖		62
行走		61
伤		61
代替		61
美丽		61
陀		61
宫		61
骆驼		61
众多		61
刻		61
环		61
招		61
枝子		61
恶行		61
喊叫		61
明天		61
几时		61
残疾		61
公升		61
假		61
阿们		61
虚空		61
高举		60
棵		60
伏		60
后代		60
接		60
夏		60
牵		60
一次		60
第二天		60
悲哀		60
要求		60
杀人		60
洗净		60
边界		60
战争		60
不可以		60
坏		60
公正		60
器具		60
碗		60
反而		60
歌颂		60
良善		60
要有		59
人从		59
答		59
赏赐		59
筵席		59
强		59
抓住		59
奠祭		59
运		59
胸		59
偏离		59
淫乱		59
万人		59
宇		59
院		59
撒但		59
能够		58
其		58
斐		58
下体		58
选择		58
乏		58
弓		58
想要		58
枯干		58
打死		58
哀号		58
试探		58
打碎		58
管教		58
围困		58
拋		58
撒督		58
事迹		58
一直		57
要看		57
十分之一		57
线		57
割		57
哭		57
哈达		57
判断		57
伯利恒		57
隐藏		57
国中		57
反		57
极大		57
三次		57
制造		57
心意		57
丢弃		57
顿		57
愚妄		57
冠冕		57
班长		57
标题		57
鸟		56
训		56
神的儿子		56
当中		56
违背		56
街上		56
价		56
轭		56
缅		56
耳朵		56
武器		56
显		56
下令		56
荣光		56
毁谤		56
修筑		56
颂赞		56
披		56
皮		55
句		55
乃		55
进来		55
不愿		55
怎		55
惊慌		55
惊惶		55
呼喊		55
剩		55
悦纳		55
工程		55
省		55
翻译		54
无法		54
空中		54
在外		54
随着		54
带回		54
引导		54
五谷		54
之内		54
察		54
需要		54
麻		54
参		54
以来		54
尊		54
烧香		54
行淫		54
国家		54
掌权		54
忍耐		54
亚哈斯		54
最后		53
计划		53
出产		53
刑罚		53
西顿		53
