word,count,type,freq,ln(freq),hsk
新的,12,token,,,
是一个很有,2,token,,,
时间很长的,2,token,,,
很长的,3,token,,,
端午也,4,token,,,
端午也称端五,2,token,,,
端五,4,token,,,
这里面,3,token,,,
是中国人两千多年来的,3,token,,,
中国人两千多年来的传,3,token,,,
国人两千多年来的传统,3,token,,,
人两千多年来的传统习,2,token,,,
两千多年,5,token,,,
两千多年来,4,token,,,
两千多年来的传统习俗,2,token,,,
端午节已经,2,token,,,
比如说有的地方会,2,token,,,
系五彩绳,2,token,,,
节日的时候,2,token,,,
做的事情,2,token,,,
中国是七个小的国家,3,token,,,
七,10,unknown,,,
七个,10,token,,,
在什,3,token,,,
就是这个,2,token,,,
中国的历史,2,token,,,
这七个国家,3,token,,,
七个国家,7,token,,,
着苦难的日子,2,token,,,
难的日子,3,token,,,
的日子,4,token,,,
这七个国家它们,2,token,,,
么样,8,token,,,
是好,2,token,,,
它们打,2,token,,,
所以如果,3,token,,,
这个国家,4,token,,,
国家之,3,token,,,
国家之间,2,token,,,
有战争,3,token,,,
个国家里,4,token,,,
个国家里面,3,token,,,
国家里,5,token,,,
国家里面,4,token,,,
的生活,2,token,,,
去打,2,token,,,
而且你,2,token,,,
你的家,3,token,,,
的家,9,token,,,
家可,2,token,,,
啊就是,4,token,,,
就是不,3,token,,,
不容易,2,token,,,
很困,2,token,,,
七个国家里面,2,token,,,
秦国的秦始皇,3,token,,,
秦国的秦始皇想,2,token,,,
想要统一七国,2,token,,,
要统一,4,token,,,
要统一七国,3,token,,,
统一七国,4,token,,,
里面有,2,token,,,
一个国,5,token,,,
一个国家,4,token,,,
是秦国,2,token,,,
想做,3,token,,,
想做什么啊,2,token,,,
什么啊,4,token,,,
他想,5,token,,,
他想要,2,token,,,
就是把,3,token,,,
他把,3,token,,,
然后他想,2,token,,,
用他庞大的军队,2,token,,,
庞大的军,4,token,,,
庞大的军队,3,token,,,
的军,8,token,,,
的军队,5,token,,,
建立一个新的,8,token,,,
建立一个新的王国,3,token,,,
立一个新的,9,token,,,
一个新,12,token,,,
一个新的,11,token,,,
他的军队,2,token,,,
有很多很多的,2,token,,,
很多很多的,3,token,,,
很多很多的人,2,token,,,
很多的人,5,token,,,
多的人,6,token,,,
他打,3,token,,,
他打仗,2,token,,,
他有,5,token,,,
他有很多的,2,token,,,
很多的军人,2,token,,,
但他,2,token,,,
人和,4,token,,,
一个新的国家,5,token,,,
是吗,7,token,,,
所以如果你,2,token,,,
如果你想,3,token,,,
如果你想有一个新,2,token,,,
想有,3,token,,,
建立一个新的家,2,token,,,
立一个新的家,3,token,,,
建立一个新的国家,3,token,,,
那别的,2,token,,,
他们想,3,token,,,
我觉得应该,2,token,,,
自己的,4,token,,,
自己的国家,2,token,,,
在中国南部的楚国,3,token,,,
有位,5,token,,,
有位大臣名叫屈原,4,token,,,
名叫屈原,5,token,,,
所以屈原,4,token,,,
的主,7,token,,,
是楚国,2,token,,,
就是一个,2,token,,,
做事情,2,token,,,
到皇帝,4,token,,,
要做,3,token,,,
要做什么,2,token,,,
见到皇帝,2,token,,,
意思是,2,token,,,
屈原是,5,token,,,
屈原是一,4,token,,,
屈原是一个,3,token,,,
什么样的,3,token,,,
什么样的人,2,token,,,
很有智慧,5,token,,,
有智慧,6,token,,,
而且爱好,3,token,,,
而且爱好和平,2,token,,,
爱好和平,3,token,,,
说一,2,token,,,
知道做什么,2,token,,,
是对的,2,token,,,
对的,3,token,,,
而且他,2,token,,,
很聪明,2,token,,,
远的,2,token,,,
的眼,2,token,,,
什么事情,2,token,,,
说老人,2,token,,,
说小孩很,2,token,,,
国家和国家之,2,token,,,
他希望,2,token,,,
和平的,2,token,,,
作为楚国的大臣,2,token,,,
楚国的,9,token,,,
的大臣,5,token,,,
屈原极力劝说,3,token,,,
极力劝说,5,token,,,
极力劝说楚王,2,token,,,
劝说楚王,3,token,,,
楚王,9,token,,,
维护国家,6,token,,,
维护国家的,4,token,,,
维护国家的独立,3,token,,,
国家的,6,token,,,
家的,7,token,,,
屈原他,3,token,,,
王说,2,token,,,
他说,3,token,,,
我们楚国,2,token,,,
是每天,2,token,,,
天说,2,token,,,
的方,2,token,,,
的想,9,token,,,
的想法,8,token,,,
是让,2,token,,,
说的话,4,token,,,
他很,3,token,,,
他非常,3,token,,,
他非常的,2,token,,,
非常的,4,token,,,
想让,4,token,,,
你相信,2,token,,,
相信他,3,token,,,
跟你说这个话,2,token,,,
说这个,3,token,,,
的什么,3,token,,,
说维护国家,2,token,,,
楚国国内有许多人反对,2,token,,,
国国内有许多人反对这,2,token,,,
国内有,3,token,,,
国内有许多人反对这一,2,token,,,
内有许多人反对这一主,2,token,,,
有许多人反对这一主张,2,token,,,
反对这一,3,token,,,
这一主张,4,token,,,
所以在楚国,2,token,,,
在楚,4,token,,,
是一样的,4,token,,,
